Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:00:0C,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:00:0D,FIBRONICS LTD.,false,MA-L,2015/11/17
00:00:0E,FUJITSU LIMITED,false,MA-L,2018/10/13
00:00:1B,"Novell, Inc.",false,MA-L,2016/04/27
00:00:23,ABB INDUSTRIAL SYSTEMS AB,false,MA-L,2015/11/17
00:00:31,"QPSX COMMUNICATIONS, LTD.",false,MA-L,2016/04/11
00:00:37,OXFORD METRICS LIMITED,false,MA-L,2015/11/17
00:00:3C,AUSPEX SYSTEMS INC.,false,MA-L,2015/11/17
00:00:3E,SIMPACT,false,MA-L,2015/11/17
00:00:3F,"SYNTREX, INC.",false,MA-L,2015/11/17
00:00:46,OLIVETTI NORTH AMERICA,false,MA-L,2015/11/17
00:00:49,"APRICOT COMPUTERS, LTD",false,MA-L,2015/11/17
00:00:4A,ADC CODENOLL TECHNOLOGY CORP.,false,MA-L,2015/11/17
